"","id","Nombre_legislador","Provincia","Orientacion","Voto","Genero","Edad","Rango_Edad","Camara","Anio","seats","colour","orden","cantidad_filas","linea_media","government","x","y","row","theta"
"123",123,"Lavagna., Marco Juan","C.A.B.A.","MASSISMO Y ALIADOS","NEGATIVO","MASCULINO",NA,"S/D","Diputadxs",2018,1,"#EA7B77",4,8,128,0,-1.56366296493606,1.24697960371747,8,2.46839422782055
"124",124,"Leavy,  Sergio Napoleón","SALTA","KIRCHNERISMO Y ALIADOS","NEGATIVO","MASCULINO",63,"56-65","Diputadxs",2018,1,"#EA7B77",4,8,128,0,-0.88652718937648,0.72124336494406,2,2.45863772889636
"125",125,"Lehmann,  María Lucila","SANTA FE","CAMBIEMOS","NEGATIVO","FEMENINO",52,"46-55","Diputadxs",2018,1,"#EA7B77",4,8,128,0,-1.21473071242716,0.996903732257157,5,2.45436926061703
"126",126,"Lipovetzky., Daniel","BUENOS AIRES","CAMBIEMOS","AFIRMATIVO","MASCULINO",41,"36-45","Diputadxs",2018,1,"#8DB994",1,8,128,1,1.46610374365965,1.36034547554184,8,0.747998250854713
"127",127,"Llanos Massa, Ana Maria","CHUBUT","KIRCHNERISMO Y ALIADOS","NEGATIVO","FEMENINO",50,"46-55","Diputadxs",2018,1,"#EA7B77",4,8,128,0,-1.31321904534682,1.1019216166055,6,2.44346095279206
"128",128,"Llaryora,  Martín Miguel","CÓRDOBA","PJ","NEGATIVO","MASCULINO",NA,"S/D","Diputadxs",2018,1,"#EA7B77",4,8,128,0,-0.984914284010114,0.826441212454122,3,2.44346095279206
"129",129,"López Koenig., Leandro","NEUQUÉN","CAMBIEMOS","AFIRMATIVO","MASCULINO",37,"36-45","Diputadxs",2018,1,"#8DB994",1,8,128,1,1.36634440553582,1.25780863301923,7,0.744061417955477
"130",130,"López,  Juan Manuel","C.A.B.A.","CAMBIEMOS","AFIRMATIVO","MASCULINO",46,"46-55","Diputadxs",2018,1,"#8DB994",1,8,128,1,1.06163546496771,0.95590086622694,4,0.733038285837618
"131",131,"Lospennato., Silvia","BUENOS AIRES","CAMBIEMOS","AFIRMATIVO","FEMENINO",69,"66-75","Diputadxs",2018,1,"#8DB994",1,8,128,1,1.31321904534682,1.1019216166055,6,0.698131700797732
"132",132,"Lotto,  Inés Beatriz","FORMOSA","KIRCHNERISMO Y ALIADOS","NEGATIVO","FEMENINO",63,"56-65","Diputadxs",2018,1,"#EA7B77",4,8,128,0,-1.06163546496771,0.95590086622694,4,2.40855436775217
"133",133,"Lousteau,  Martín","C.A.B.A.","OTROS","AFIRMATIVO","MASCULINO",74,"66-75","Diputadxs",2018,1,"#8DB994",1,8,128,1,0.984914284010115,0.826441212454122,3,0.698131700797732
"134",134,"Macha,  Mónica","BUENOS AIRES","KIRCHNERISMO Y ALIADOS","AFIRMATIVO","FEMENINO",39,"36-45","Diputadxs",2018,1,"#8DB994",1,8,128,1,1.21473071242716,0.996903732257157,5,0.687223392972767
"135",135,"Macias., Oscar Alberto","CORRIENTES","PJ","NEGATIVO","MASCULINO",55,"46-55","Diputadxs",2018,1,"#EA7B77",4,8,128,0,-1.36634440553582,1.25780863301923,7,2.39753123563432
"136",136,"Maquieyra., Martín","LA PAMPA","CAMBIEMOS","NEGATIVO","MASCULINO",60,"56-65","Diputadxs",2018,1,"#EA7B77",4,8,128,0,-1.46610374365965,1.36034547554184,8,2.39359440273508
"137",137,"Marcucci., Hugo María","SANTA FE","CAMBIEMOS","AFIRMATIVO","MASCULINO",NA,"S/D","Diputadxs",2018,1,"#8DB994",1,8,128,1,0.88652718937648,0.72124336494406,2,0.682954924693433
"138",138,"Martiarena,  José Luis","JUJUY","PJ","NEGATIVO","MASCULINO",42,"36-45","Diputadxs",2018,1,"#EA7B77",4,8,128,0,-1.21218305346265,1.21218305346265,6,2.35619449019234
"139",139,"Martínez Villada., Leonor","CÓRDOBA","CAMBIEMOS","NEGATIVO","FEMENINO",63,"56-65","Diputadxs",2018,1,"#EA7B77",4,8,128,0,-1.11116779900743,1.11116779900743,5,2.35619449019234
"140",140,"Martínez,  Darío","NEUQUÉN","KIRCHNERISMO Y ALIADOS","AFIRMATIVO","MASCULINO",38,"36-45","Diputadxs",2018,1,"#8DB994",1,8,128,1,1.56366296493606,1.24697960371747,8,0.673198425769241
"141",141,"Martínez., Silvia Alejandra","JUJUY","CAMBIEMOS","AFIRMATIVO","FEMENINO",56,"56-65","Diputadxs",2018,1,"#8DB994",1,8,128,1,1.46554666030759,1.14068075213795,7,0.661387927071535
"142",142,"Masín., María Lucila","CHACO","KIRCHNERISMO Y ALIADOS","AFIRMATIVO","FEMENINO",NA,"S/D","Diputadxs",2018,1,"#8DB994",1,8,128,1,1.15573856339278,0.839693217560676,4,0.628318530717959
"143",143,"Massetani., Vanesa","SANTA FE","MASSISMO Y ALIADOS","NEGATIVO","FEMENINO",38,"36-45","Diputadxs",2018,1,"#EA7B77",4,8,128,0,-0.707106781186547,0.707106781186548,1,2.35619449019234
"144",144,"Massot., Nicolás","CÓRDOBA","CAMBIEMOS","NEGATIVO","MASCULINO",NA,"S/D","Diputadxs",2018,1,"#EA7B77",4,8,128,0,-0.8823106772598,0.935194682022491,3,2.32710566932577
"145",145,"Matzen,  Lorena","RIO NEGRO","CAMBIEMOS","AFIRMATIVO","FEMENINO",61,"56-65","Diputadxs",2018,1,"#8DB994",1,8,128,1,0.809016994374947,0.587785252292473,1,0.628318530717959
"146",146,"Medina,  Gladys","TUCUMÁN","PJ","NEGATIVO","FEMENINO",65,"56-65","Diputadxs",2018,1,"#EA7B77",4,8,128,0,-0.780060735107033,0.835241102032142,2,2.32204674395767
"147",147,"Medina,  Martín Nicolás","BUENOS AIRES","CAMBIEMOS","NEGATIVO","MASCULINO",54,"46-55","Diputadxs",2018,1,"#EA7B77",4,8,128,0,-1.36034547554184,1.46610374365965,8,2.31879457764961
